lang,key,traffic,iphone_diff,iphone_apps,ipad_diff,ipad_apps,req_time,created
US,game,5.6,6.5,358203,6.5,282984,4.418280839920044,2014-12-14
US,play,6.5,6.2,22475,6.2,16422,3.376823902130127,2014-12-14
US,awesome,5.7,6.7,5117,6.6,3800,2.0464839935302734,2014-12-14
US,madness,5.1,5.8,1602,6.3,1411,2.0454559326171875,2014-12-14
US,action,5.7,6.3,20576,6.7,12404,3.484410047531128,2014-12-14
US,legendary,4.8,7.2,245,7.0,210,2.680333137512207,2014-12-14
US,tournament,4.6,7.4,1687,7.2,1114,1.9294710159301758,2014-12-14
US,puzzle,5.9,6.2,51862,6.0,42978,2.860119104385376,2014-12-14
US,simulation,4.6,7.1,8978,7.6,6177,2.9760029315948486,2014-12-14
US,escape,5.2,6.2,8050,6.1,7186,2.559966802597046,2014-12-14
US,mysterious,4.6,3.3,257,2.8,219,4.0963709354400635,2014-12-14
US,roleplaying,3.4,7.1,2510,5.5,446,2.664339780807495,2014-12-14
US,reaction,4.3,4.4,2142,3.6,1337,3.0712480545043945,2014-12-14
US,multiplayer,5.5,6.7,5182,6.7,4394,2.867541790008545,2014-12-14
US,physics,5.4,5.7,6488,5.8,5227,2.665588140487671,2014-12-14
