lang,key,traffic,iphone_diff,iphone_apps,ipad_diff,ipad_apps,req_time,created
US,game play,3.7,6.6,16953,6.6,12647,4.396188020706177,2014-12-14
US,game awesome,0.0,5.9,3572,6.3,2962,4.068380117416382,2014-12-14
US,game madness,0.0,5.3,1511,5.7,1363,2.981727123260498,2014-12-14
US,game action,2.3,6.3,18974,6.2,11491,3.266826868057251,2014-12-14
US,game legendary,0.0,5.1,196,4.9,182,3.0980939865112305,2014-12-14
US,game tournament,1.9,6.5,1059,6.5,774,2.5434279441833496,2014-12-14
US,game puzzle,2.6,6.6,50631,6.8,41866,3.2032980918884277,2014-12-14
US,game simulation,0.0,6.7,7871,7.1,5202,3.1338531970977783,2014-12-14
US,game escape,0.0,6.5,7539,6.5,6887,2.7767369747161865,2014-12-14
US,game mysterious,0.0,2.9,177,3.2,172,3.494749069213867,2014-12-14
US,game roleplaying,0.0,6.7,2469,4.9,427,2.5614380836486816,2014-12-14
US,game reaction,0.0,3.1,1920,4.0,1256,5.706167936325073,2014-12-14
US,game multiplayer,2.0,6.2,5094,6.4,4333,3.236841917037964,2014-12-14
US,game physics,2.4,5.4,5403,5.9,4324,3.2712271213531494,2014-12-14
US,play game,3.6,7.0,16599,6.9,12428,2.7905831336975098,2014-12-14
US,play awesome,0.0,5.6,320,5.5,263,2.952409029006958,2014-12-14
US,play madness,0.0,4.3,116,4.3,102,3.387235164642334,2014-12-14
US,play action,3.4,5.9,1015,4.5,503,3.0997891426086426,2014-12-14
US,play legendary,1.0,3.8,15,1.6,2,2.075044870376587,2014-12-14
US,play tournament,1.0,4.0,110,3.4,81,3.114333152770996,2014-12-14
US,play puzzle,1.9,6.0,2503,6.0,2256,3.031899929046631,2014-12-14
US,play simulation,0.0,6.3,379,3.4,231,2.6608009338378906,2014-12-14
US,play escape,0.0,4.3,245,4.0,192,3.0723390579223633,2014-12-14
US,play mysterious,0.0,3.0,13,2.1,6,2.0486578941345215,2014-12-14
US,play roleplaying,0.0,7.2,1537,5.4,257,2.5672688484191895,2014-12-14
US,play reaction,0.0,3.0,103,1.9,72,5.009477138519287,2014-12-14
US,play multiplayer,1.4,5.3,394,4.8,256,2.9208950996398926,2014-12-14
US,play physics,0.0,3.4,192,2.8,161,3.838568925857544,2014-12-14
US,awesome game,2.7,6.0,3574,6.0,2963,2.9687578678131104,2014-12-14
US,awesome play,0.0,5.7,429,5.6,328,2.850896120071411,2014-12-14
US,awesome madness,0.0,1.6,41,1.6,41,4.008718013763428,2014-12-14
US,awesome action,0.0,5.3,449,5.3,324,2.5583040714263916,2014-12-14
US,awesome legendary,0.0,4.3,44,3.2,19,3.027928113937378,2014-12-14
US,awesome tournament,0.0,0.0,7,0.0,7,2.2039718627929688,2014-12-14
US,awesome puzzle,1.5,5.1,517,5.1,447,3.165168046951294,2014-12-14
US,awesome simulation,0.0,2.4,164,2.2,128,3.789216995239258,2014-12-14
US,awesome escape,0.0,3.3,135,3.2,131,3.6071739196777344,2014-12-14
US,awesome mysterious,0.0,0.6,4,0.0,3,1.5536260604858398,2014-12-14
US,awesome roleplaying,0.0,2.4,18,0.0,0,2.1300039291381836,2014-12-14
US,awesome reaction,0.0,1.4,24,1.4,20,4.438345909118652,2014-12-14
US,awesome multiplayer,1.0,2.1,73,2.1,66,3.799628973007202,2014-12-14
US,awesome physics,0.0,4.3,87,1.9,71,3.274312973022461,2014-12-14
US,madness game,2.9,5.6,1511,5.8,1363,3.1070799827575684,2014-12-14
